NAME,median age male,median age female,total travel time to work,travel time to work: less than 5 minutes,travel time to work: 5 to 9 minutes,travel time to work: 10 to 14 minutes,travel time to work: 15 to 19 minutes,travel time to work: 20 to 24 minutes,travel time to work: 25 to 29 minutes,travel time to work: 30 to 34 minutes,travel time to work: 35 to 39 minutes,travel time to work: 40 to 44 minutes,travel time to work: 45 to 59 minutes,travel time to work: 60 to 89 minutes,travel time to work: 90 or more minutes,own children under 18 years by family type and age,total household type,household type: married-couple family,"household type: male householder, no wife present","household type: female householder, no husband present",household type: householder living alone,household type: householder not living alone,total male over 15years,male never married,male now married,male widowed,male divorced,total female over 15 years,female never married,female now married,female widowed,female divorced,women who had a birth in the past 12 months,male no schooling completed,male high school graduate (includes equivalency),male bachelor's degree,male master's degree,male doctorate degree,female no schooling completed,female high school graduate (includes equivalency),female bachelor's degree,female master's degree,female doctorate degree,total income in the past 12 months,total income in the past 12 months at or above poverty level,total income in the past 12 months below poverty level,median household income in the past 12 months (in 2018 inflation-adjusted dollars),total household in the past 12 months with/without public assist or stamps,household with cash public assistance or food stamps/snap in the past year,gini index,per capita income in the past 12 months (in 2018 inflation-adjusted dollars),mean usual hours worked male,mean usual hours worked female,total employment status 16 and over,employed population 16 years and over,housing units,housing tenure owner occupied,housing tenure renter occupied,median number of rooms,median contract rent,median monthly housing costs,no household computer,no household internet access,state_name,county
"Baldwin County, Alabama",42.5,45,94164,2074,8241,11573,13942,10718,5871,16405,3698,7460,6855,4836,2491,38802,83501,44921,2246,8187,23304,4843,85527,21191,48391,2502,13443,94079,19884,52256,9890,12049,1339,1188,21349,16439,5507,986,368,22664,15771,7091,598,214740,195535,19205,56813,83501,6640,0.4725,32704,42.2,36.2,176222,102800,116632,63010,20491,5.8,831,941,6058,9803,Alabama,BALDWIN
"Calhoun County, Alabama",38.6,41.4,47141,1554,5021,5371,10137,6546,1279,7245,1168,1161,3502,2868,1289,18502,44264,20497,2819,6794,12125,2029,44590,14706,22726,1494,5664,49419,12718,23908,5451,7342,1871,410,13993,3301,1536,607,529,11768,4613,2921,521,111061,88309,22752,45818,44264,8270,0.465,24493,43.3,37.1,93284,49415,53888,31036,13228,5.8,534,727,5496,9067,Alabama,CALHOUN
"Cullman County, Alabama",38.8,42.1,35071,1737,4580,6025,5088,4687,1862,2899,84,489,2845,3522,1253,15410,30323,16778,1680,3129,6714,2022,33209,8598,19065,1427,4119,34880,6434,19699,4194,4553,966,386,9376,2681,342,261,391,8773,2235,1092,44,82209,70382,11827,44612,30323,3793,0.4981,25874,41.3,36,66680,35876,38029,22760,7563,5.6,433,607,4054,5437,Alabama,CULLMAN
"DeKalb County, Alabama",38.8,40.5,27784,355,2194,4723,4521,4767,1138,4911,828,1227,1043,1403,674,14352,26462,15102,1417,2629,6689,625,27582,7879,16538,998,2167,29842,6292,16472,3832,3246,1344,932,7420,1608,1189,170,228,6913,2323,1323,92,70157,54226,15931,36998,26462,4900,0.5003,21822,41.4,36.55,57239,29616,31656,19171,7291,5.7,435,604,3787,5044,Alabama,DEKALB
"Elmore County, Alabama",36.8,41.2,33273,1292,2012,2676,3850,5234,2877,6841,2092,701,3905,1257,536,16924,30155,17010,1868,3225,7121,931,31913,9895,17021,1438,3559,35261,8133,19755,3602,3771,1532,173,9400,4617,1461,131,257,9057,5529,1607,435,77240,69864,7376,60796,30155,2920,0.4162,26128,43.2,38.8,65407,34265,34416,22169,7986,6.1,621,871,4035,4969,Alabama,ELMORE
"Etowah County, Alabama",38.9,42.8,42518,1598,3802,7966,8634,5962,3357,3420,671,958,2813,1929,1408,17699,38625,18548,1320,6451,10201,2105,39818,12449,21026,1409,4934,44182,10998,20518,6180,6486,1862,118,12482,3823,1367,87,166,11235,4853,2714,315,100867,83565,17302,45868,38625,4841,0.4469,26192,41.8,37.2,82575,44172,47847,27383,11242,5.9,492,648,4584,6118,Alabama,ETOWAH
"Houston County, Alabama",38.1,42.4,42971,651,3841,7448,8756,8765,2494,6681,717,646,1592,989,391,20784,38861,17935,1346,5721,12116,1743,39984,13485,20532,1233,4734,44986,12757,20973,4655,6601,1272,518,10971,4712,1700,223,423,12128,4871,2376,180,103515,86571,16944,48105,38861,4781,0.4769,26994,41.2,36.2,83421,44812,47805,26166,12695,5.6,555,725,7046,9277,Alabama,HOUSTON
"Jefferson County, Alabama",36.2,40.1,282141,4802,18978,34758,53677,51841,22180,46912,9035,8635,18174,9956,3193,119692,255940,107628,11808,39679,82731,14094,248477,89549,121766,7447,29715,285754,93288,126732,25557,40177,10199,1197,59931,41693,12738,3924,2514,60358,53001,21912,3304,643119,540303,102816,55206,255940,34403,0.4952,31683,41.4,37.8,527740,298525,309579,161306,94634,5.7,687,916,27836,34788,Alabama,JEFFERSON
"Lauderdale County, Alabama",37.8,44.4,41808,738,5362,6497,9024,5551,2271,3883,1431,752,3148,2555,596,15995,38670,21003,1812,4325,9599,1931,37459,10261,21963,970,4265,40092,8799,22464,4318,4511,1542,315,13207,4307,1661,480,172,11882,5455,2454,437,90384,78485,11899,49014,38670,4277,0.4775,29063,41.8,36.6,76012,42960,45468,25516,13154,5.8,435,621,5497,7495,Alabama,LAUDERDALE
"Lee County, Alabama",30.5,33.1,70315,1011,7068,11344,16147,11682,3963,8265,2161,1219,5307,1205,943,31323,59336,27744,2082,7488,17471,4551,64991,27071,31081,1907,4932,69175,24134,32246,3708,9087,1606,515,10949,8814,4271,1285,504,11266,10908,5253,786,157870,125803,32067,46456,59336,5940,0.539,27874,39.2,33.8,132509,73544,70372,36498,22838,5.6,645,842,4383,6600,Alabama,LEE
"Limestone County, Alabama",37.6,40.7,39660,316,2624,5295,5200,4570,3851,6974,2348,2485,4011,1206,780,18354,32333,18186,1046,3774,7628,1699,38793,11949,22580,488,3776,39076,8839,19582,4889,5766,338,785,10189,6663,2840,226,493,9330,5975,2505,59,93095,82619,10476,67000,32333,3017,0.4149,28132,41.4,36.55,76535,41425,36535,25568,6765,5.9,502,715,2885,4677,Alabama,LIMESTONE
"Madison County, Alabama",37,40.6,168612,1877,14395,22528,35205,37429,13115,25007,3806,4361,7714,1838,1337,72333,152723,73785,6385,17372,46912,8269,145361,49356,77580,3025,15400,155204,42087,81191,12401,19525,4421,629,22688,33188,17659,3220,837,27821,34789,14888,2178,357121,313823,43298,63111,152723,16494,0.4643,35822,41.1,35.7,296893,176976,164263,99434,53289,6.2,706,937,10393,14724,Alabama,MADISON
"Marshall County, Alabama",37,40.5,38143,2812,5197,6010,4980,4529,811,3705,1349,1861,3537,2312,1040,20862,36022,17683,1000,5428,10238,1673,37259,11427,20248,1042,4542,38788,9172,18944,5124,5548,1247,701,9655,4950,1289,353,412,10140,4366,2664,91,94435,75885,18550,47528,36022,4363,0.4746,24988,42.1,37.1,74664,40540,40812,25544,10478,5.9,507,653,4039,5597,Alabama,MARSHALL
"Mobile County, Alabama",36,39.8,162932,3312,13943,15646,31296,28591,11504,29435,4625,5099,10425,6457,2599,83833,158627,64352,8293,27508,52001,6473,156218,61286,71685,4732,18515,177735,56700,75407,19098,26530,5926,1221,49969,17328,5111,1243,1501,47111,23811,10703,1090,406968,322515,84453,43061,158627,27318,0.4805,24663,40.6,36.8,328844,171487,184687,95186,63441,5.6,633,797,18821,29155,Alabama,MOBILE
"Montgomery County, Alabama",34.9,38.9,93355,1593,8508,18496,20544,18198,5913,10126,1016,1027,4476,1926,1532,42354,87553,32915,3863,17471,29277,4027,84122,34319,37286,2134,10383,97808,39119,37188,8393,13108,3155,601,21053,11604,5664,1520,1314,20095,14695,9731,450,218245,174941,43304,49989,87553,16192,0.5179,29809,41.4,37,179561,97362,105170,49547,38006,5.6,661,865,10073,13386,Alabama,MONTGOMERY
"Morgan County, Alabama",39,42.8,51071,1697,6540,7657,8005,7364,2721,7165,1607,1808,4563,1155,789,22002,45851,25649,1943,5035,12005,1219,47153,13901,27586,1032,4634,49547,10145,28394,5418,5590,1001,416,10694,7461,1694,465,873,12692,6976,3057,58,117592,103626,13966,53260,45851,4738,0.4455,27742,41.3,36.5,95485,53742,52284,32658,13193,6,536,669,6289,6838,Alabama,MORGAN
"St. Clair County, Alabama",39.6,41.8,37276,105,2421,3828,3891,3987,2712,6441,2824,2893,5207,2161,806,17834,30765,18006,1123,3243,7609,784,36422,9801,20996,1435,4190,35052,6463,20270,4108,4211,1504,290,12856,4113,893,0,283,10043,3725,2079,76,86702,76555,10147,56602,30765,2182,0.409,25437,41.4,36.55,70685,38686,37190,23638,7127,6.1,634,864,3701,4553,Alabama,ST CLAIR
"Shelby County, Alabama",39.3,40.8,99724,928,5180,9120,11921,13599,6752,20597,4830,4760,11277,8652,2108,45263,80944,47386,1959,5996,21288,4315,84311,24710,50477,1583,7541,91601,21028,52469,6815,11289,2568,272,11950,21103,6267,765,313,16827,19076,9360,921,211940,194448,17492,71230,80944,3848,0.4589,37386,42.9,36.2,173097,107307,88393,65547,15397,6.5,884,1055,3903,6900,Alabama,SHELBY
"Talladega County, Alabama",40.7,42.8,29939,682,3886,6021,4331,4190,1364,3029,953,806,2193,1744,740,13211,31219,14396,1443,5862,8515,1003,31615,10187,16866,918,3644,34546,10513,15259,3452,5322,1726,175,10764,2561,579,327,257,8821,2641,1261,216,76270,61367,14903,40315,31219,5275,0.4965,24571,41.4,36.55,65419,31923,37906,21408,9811,5.7,385,664,4605,5077,Alabama,TALLADEGA
"Tuscaloosa County, Alabama",32.1,34.2,94814,2286,10382,12983,16505,20487,5362,11038,2415,2257,4783,5001,1315,39732,74053,34053,3627,10326,21023,5024,81899,37285,34946,1646,8022,91043,35240,39896,6589,9318,3285,847,19980,10120,3363,2044,643,20728,13063,7351,1419,198260,165356,32904,54459,74053,7301,0.4658,26818,38.7,35.2,170265,98877,93002,46221,27832,5.2,653,876,7271,10795,Alabama,TUSCALOOSA
"Walker County, Alabama",38.6,44,23303,1139,3331,2899,2260,2303,1274,2734,492,950,2909,2159,853,10755,24870,13097,1141,2491,7020,1121,24787,7112,13545,881,3249,27273,4730,15537,3195,3811,1141,479,7776,1583,356,73,497,8174,1971,738,247,62727,51915,10812,47602,24870,3570,0.4781,26348,41.4,36.55,50948,25291,31249,18736,6134,5.7,386,487,4259,5183,Alabama,WALKER
"Apache County, Arizona",32.9,37.4,16363,631,4032,2058,1451,1082,188,2384,541,302,1353,1379,962,13091,21936,8137,1403,4387,7563,446,27264,14484,10268,601,1911,28233,13041,10305,2552,2335,618,422,8492,1563,633,113,847,6530,1433,1198,0,70749,43624,27125,30207,21936,6038,0.5153,14605,40,37,54577,17763,32942,17910,4026,4.3,343,246,10323,13971,Arizona,APACHE
"Cochise County, Arizona",39.5,43.8,44744,2624,10894,7899,7056,5442,2053,2728,908,504,2776,875,985,23581,49751,23517,2797,4791,15713,2933,53045,15832,26986,2524,7703,50996,12598,25736,5272,7390,786,576,11903,5682,3984,351,579,10146,5881,2151,93,119305,103272,16033,50495,49751,8923,0.4488,26657,41.9,36.2,102489,43375,61318,35702,14049,5.6,635,751,5113,7294,Arizona,COCHISE
"Coconino County, Arizona",30.7,30.8,63827,4845,11326,13002,14056,6434,1924,4304,1198,1208,1772,1655,2103,22610,47275,22621,2575,4631,10786,6662,58057,26614,26187,745,4511,60230,28510,25305,2481,3934,692,348,10744,8656,3729,1653,839,6922,9349,4325,814,129038,108795,20243,61843,47275,4111,0.4442,27143,38.4,33.8,116671,67654,66838,29699,17576,5.2,1114,1111,3231,7709,Arizona,COCONINO
"Maricopa County, Arizona",35.5,37.9,1951039,35132,151007,234956,294332,329065,155800,288154,66100,94469,163168,102949,35907,910565,1582464,754513,94551,194215,413533,125652,1735917,655944,857664,40592,181717,1801158,560868,862069,136760,241461,60967,22515,322624,305141,121549,21458,21893,336349,315321,139628,16167,4355605,3823933,531672,65252,1582464,145692,0.4583,33298,41,37,3478309,2139992,1762981,990183,592281,5.4,961,1155,82250,139453,Arizona,MARICOPA
"Mohave County, Arizona",51.7,53.2,67348,4134,12142,14331,13364,8681,2577,2987,518,1350,2282,2683,2299,30467,90270,41341,5655,9549,26994,6731,90845,23090,47145,4281,16329,89114,17386,47361,11881,12486,2155,1233,29057,8654,1635,362,970,26367,7019,3408,362,205705,172522,33183,46060,90270,12529,0.4334,25450,40.4,36.3,177746,72632,115269,63654,26616,4.9,669,745,9668,13231,Arizona,MOHAVE
"Navajo County, Arizona",36.7,39.3,28524,3108,6226,6056,2403,1724,815,3012,449,608,1235,1417,1471,20287,34285,14676,2539,5711,10258,1101,42566,17670,18294,1557,5045,43245,15037,18546,4559,5103,1709,500,13181,2644,862,128,833,9398,3290,2657,43,107624,75970,31654,40463,34285,7654,0.47,18125,40.5,36.2,83803,32196,58164,24255,10030,4.9,524,504,7237,11829,Arizona,NAVAJO
"Pima County, Arizona",37.1,40.6,425595,8176,34531,51613,73705,69235,31267,72283,14769,18145,31052,11778,9041,185301,402323,174435,22422,49195,123285,32986,418623,159355,196483,12464,50321,441014,137489,198720,42874,61931,11804,3584,79497,60424,28456,8818,4264,83474,69032,34765,5863,1010866,846662,164204,53464,402323,52477,0.4655,29410,39.4,35.8,847376,454426,462778,250634,151689,5.1,758,904,25483,41567,Arizona,PIMA
"Pinal County, Arizona",38.3,41.6,149492,4299,15255,17761,14546,11122,6662,20072,8506,8312,22177,16544,4236,87063,147936,85289,8779,15573,30665,7630,189741,66905,96690,4834,21312,172939,41347,93754,15381,22457,7030,2179,49751,18063,7653,1723,1917,40796,19899,9543,1056,418346,366212,52134,59058,147936,17098,0.3916,23958,40.8,36,356563,162888,177186,115511,32425,5.5,836,949,9567,13847,Arizona,PINAL
"Yavapai County, Arizona",51.7,55.8,78305,4585,13390,11438,11014,9865,2800,9560,2193,2125,4542,3424,3369,31674,100836,49093,3284,7763,34750,5946,96732,25697,52987,3990,14058,104658,21226,52725,12277,18430,1794,566,21477,12999,4844,1849,302,22560,16025,7560,1195,226881,196874,30007,48148,100836,7957,0.4531,29389,39.6,34.2,198754,87644,118410,73901,26935,5.4,738,829,8203,13602,Arizona,YAVAPAI
"Yuma County, Arizona",33.4,37.1,77379,4977,10564,14074,14702,11035,3267,9257,687,2904,2258,2204,1450,43140,74532,42787,4191,10586,13579,3389,86488,26443,50925,2724,6396,80743,19070,48102,6840,6731,2578,1349,19445,8070,2493,296,1387,17193,7484,2315,335,205802,165507,40295,43403,74532,12519,0.4486,21484,42.4,36.3,164347,76472,93571,48950,25582,4.8,692,821,7980,11416,Arizona,YUMA
"Benton County, Arkansas",35,36,129989,3519,14460,24513,25480,24989,8549,15343,3135,3024,4548,1295,1134,65844,100128,58035,4007,10302,21021,6763,104783,31893,62735,2661,7494,108308,25329,62212,8632,12135,3722,1311,25831,16717,7927,781,1199,25742,20260,8313,370,268354,245371,22983,67164,100128,4784,0.4692,35872,43,38.1,208879,136545,108481,67295,32833,5.8,711,949,5946,12561,Arkansas,BENTON
"Craighead County, Arkansas",32.5,35.2,47183,1904,6177,11165,11767,7285,1579,3397,1124,328,587,1247,623,24072,42631,17865,1773,7110,13148,2735,41162,14582,19036,1225,6319,44578,13020,20283,4723,6552,1741,184,11784,6531,1172,693,127,12623,5936,3734,131,104628,84457,20171,44810,42631,4965,0.4744,25108,39.8,36.7,84075,49628,46254,23960,18671,5.5,614,734,3544,4633,Arkansas,CRAIGHEAD
"Faulkner County, Arkansas",32.4,33.6,57119,1221,6655,9099,12341,3566,3261,6230,3881,2243,6170,1457,995,25709,43701,21634,1266,4457,12641,3703,48135,17962,25202,579,4392,52717,17200,22671,4116,8730,1805,218,12092,7299,2504,815,317,9605,7920,4316,622,119579,97921,21658,51437,43701,3523,0.4777,27203,41.1,38.2,99063,57984,50520,28635,15066,5.5,652,824,4072,6371,Arkansas,FAULKNER
"Garland County, Arkansas",42.7,46.3,38638,638,6015,7600,8099,5407,2068,3191,490,512,1506,2231,881,16988,40407,18570,2190,6383,11393,1871,39172,11755,20331,1673,5413,43813,10544,20386,5638,7245,1430,55,12845,4169,1760,234,184,11693,5937,1790,215,97515,75041,22474,42779,40407,5634,0.4822,26857,41.5,36.9,81395,41066,51025,26815,13592,5.3,617,733,3297,6701,Arkansas,GARLAND
"Jefferson County, Arkansas",39.9,40.7,22900,324,2166,3916,6109,3525,2595,2109,133,185,747,1040,51,11648,25689,9207,1247,4410,9733,1092,27308,10742,11669,922,3975,28462,10689,10222,3571,3980,821,88,10517,1908,329,98,213,9492,3739,1397,277,60796,48032,12764,35652,25689,4684,0.4833,20738,41.65,37.65,55309,23835,33382,15201,10488,5.6,534,645,3523,6565,Arkansas,JEFFERSON
"Lonoke County, Arkansas",35.9,37.5,31258,1741,1979,3746,3401,3142,2053,4737,1628,1887,4885,1455,604,16406,28132,15793,1362,3002,6653,1322,28227,7240,17155,630,3202,29876,5941,17371,2182,4382,1369,289,9652,1924,827,0,193,8751,3518,1380,0,72534,62475,10059,53782,28132,4081,0.4349,27058,43.5,39.1,56820,32107,29747,19308,8824,5.9,647,842,2508,3556,Arkansas,LONOKE
"Pulaski County, Arkansas",36.4,39.2,181144,4382,18374,31176,36628,34667,14144,23094,3210,2449,6380,4332,2308,79378,157678,63278,8543,25867,49801,10189,149414,56460,72324,3541,17089,166256,56277,69508,14353,26118,4596,924,34270,23964,10350,2649,1097,36761,27580,15064,2507,386172,320659,65513,49613,157678,17290,0.5151,33539,41.8,37.6,310280,188340,185967,92535,65143,5.4,668,864,14023,24336,Arkansas,PULASKI
"Saline County, Arkansas",38.7,39.8,57055,1022,5427,7410,5778,9503,6326,11450,1780,2913,3560,898,988,25397,43496,24859,1600,6193,9220,1624,48206,14344,26597,1503,5762,50258,11186,26710,4778,7584,1499,281,12864,7047,2711,404,291,11851,7928,3420,307,119734,107007,12727,63084,43496,2923,0.4071,29555,41.1,37.7,96973,59219,49326,35943,7553,5.7,641,835,2687,5626,Arkansas,SALINE
"Sebastian County, Arkansas",37.7,39.6,55911,2396,10194,9702,11703,7761,2856,6125,1567,1296,1060,740,511,27684,51739,23129,3307,8067,15145,2091,50268,15057,27146,1740,6325,52349,13101,26924,3915,8409,1540,931,13025,5220,2479,102,749,13132,6983,2084,666,126053,106582,19471,46826,51739,5836,0.468,26958,42.6,38.4,100912,59618,57229,30246,21493,5.6,528,691,4579,9118,Arkansas,SEBASTIAN
"Washington County, Arkansas",31.6,32.9,104681,4427,12458,21608,19036,14171,5447,13615,3470,2425,5183,1418,1423,52477,90001,43008,6619,8544,23044,8786,93988,37056,46503,1664,8765,94984,31280,47866,5948,9890,3616,1635,19114,13269,8410,1121,1139,18753,14818,6108,1195,228416,191772,36644,50342,90001,5858,0.494,28059,40.8,35.3,186286,115315,95013,47861,42140,5.3,661,817,5865,13018,Arkansas,WASHINGTON
"White County, Arkansas",34.5,39.6,29154,1799,4335,5099,4973,2937,513,2936,757,473,2522,1971,839,16460,29577,15466,1330,3937,8350,494,30602,9394,16170,1370,3668,33787,8073,17473,3711,4530,1140,165,8138,3619,457,504,188,11152,3752,1821,428,74785,61761,13024,42270,29577,4092,0.4929,24056,43.4,35.1,63038,31608,33954,19016,10561,5.5,521,696,3975,5212,Arkansas,WHITE
"Alameda County, California",36.7,38.6,741906,7832,34406,76832,98515,85033,38162,96005,24727,41539,94978,102259,41618,301098,575410,292013,28708,60599,140793,53297,672904,271622,350446,11703,39133,706241,245417,343653,51849,65322,18705,10717,107392,151749,84613,22211,12339,106976,174637,90903,12031,1642667,1496468,146199,102125,575410,47898,0.4591,48595,40.1,36.6,1361098,882648,615129,308503,266907,4.7,1791,2087,26370,36838,California,ALAMEDA
"Butte County, California",36.3,38.9,91794,3678,16076,19552,14642,7686,5519,9558,1572,1317,5696,3053,3445,40779,88636,36075,4451,10941,24628,12541,94338,39963,41937,2684,9754,98168,33361,40304,9163,15340,2437,796,17341,12772,3091,1497,1392,17154,13610,5378,601,226193,183763,42430,51652,88636,10946,0.4781,28915,38.9,34.7,190638,101385,100038,51941,36695,5.1,897,1057,5549,9055,California,BUTTE
"Contra Costa County, California",38.4,41.2,522772,7272,31897,51735,57838,47411,20255,62337,12725,23496,65586,86848,55372,228587,396133,216306,20421,48691,87593,23122,454120,159632,251408,9573,33507,483427,145265,245488,35148,57526,13351,6644,68728,98698,41896,10571,6946,69253,114462,49459,6800,1141015,1052780,88235,101618,396133,26875,0.4639,48968,40.5,35.7,921374,577749,415955,264098,132035,5.8,1721,2033,16121,20983,California,CONTRA COSTA
"El Dorado County, California",45.8,47.5,76127,2438,7128,12371,11083,9436,3994,6711,2851,3077,7889,5677,3472,35706,72774,41911,2663,5301,17500,5399,79113,23311,47205,1783,6814,80980,18836,44337,5984,11823,1260,206,14404,15703,6172,1346,1200,13619,16668,5119,953,189589,174534,15055,82742,72774,5589,0.4488,43133,39.7,34.7,156948,88702,91094,55103,17671,5.7,1163,1588,3642,5590,California,EL DORADO
"Fresno County, California",31.8,33.1,385672,11328,33466,55298,77324,74745,25874,54680,8371,11114,16899,8431,8142,238339,309519,143430,22049,55345,73389,15306,374519,158505,176523,9555,29936,382658,137986,175504,30245,38923,14427,12905,75442,37684,11431,2379,13310,63509,50795,18884,1608,975927,766128,209799,52629,309519,59814,0.4668,23834,40.3,36,741706,414515,333809,158439,151080,5.2,835,1088,29653,49371,California,FRESNO
"Humboldt County, California",38,39.4,56823,4813,12488,8664,9852,8345,1991,4686,306,943,2437,2078,220,23117,55773,19850,3596,6135,17096,9096,56836,25601,22668,2056,6511,57292,19005,23694,4860,9733,1839,610,12527,8737,2352,995,950,9518,10118,2899,824,132985,105008,27977,50294,55773,7966,0.4527,27406,38.8,33.6,112359,64215,63308,29758,26015,5,865,992,3473,6308,California,HUMBOLDT
"Imperial County, California",32.1,34.3,56505,1041,7948,10149,11735,9654,2808,4390,696,1391,1783,1932,2978,39865,41764,19460,3020,8312,9730,1242,71539,32239,31183,1940,6177,67648,27152,26978,6413,7105,2388,2141,17450,4655,1801,103,2282,11087,6006,2084,125,171991,132176,39815,48984,41764,8819,0.4448,16920,40.5,32.9,136416,61830,57893,27470,14294,5.1,638,915,3124,4581,California,IMPERIAL
"Kern County, California",31.5,32.6,328028,5806,30816,57077,70333,61380,21096,31170,4322,8746,15880,11975,9427,222318,273167,136175,21362,44357,56225,15048,349679,150709,165732,7856,25382,329771,108874,160602,25766,34529,12827,5829,81770,26980,12827,1671,6076,65050,29850,11226,702,866580,688341,178239,51579,273167,50082,0.4725,22778,41,36.5,664871,348493,300423,156852,116315,5.1,809,1072,21894,34836,California,KERN
"Kings County, California",31.5,32.4,52523,2824,9463,6817,8336,5289,3104,5946,1129,1511,4642,2186,1276,35884,43727,21115,4443,8216,7795,2158,65894,30673,27542,1602,6077,50991,16602,25562,4427,4400,2258,1121,14866,4847,845,174,1446,8712,4636,1590,265,137060,110761,26299,61663,43727,7356,0.4043,22628,43.7,37.5,114798,52644,46649,23557,20170,5.3,851,1123,3554,5905,California,KINGS
"Lake County, California",41.5,45.9,20623,371,2515,3098,2872,3272,709,1128,304,1103,2395,1324,1532,83958,26774,11932,1298,2805,8389,2350,26129,7770,13490,1080,3789,27038,5875,14324,2673,4166,722,16,6317,1942,1216,71,131,6703,3384,1007,195,62940,51854,11086,48554,26774,3472,0.487,29537,40.4,35.5,52124,25891,34751,17413,9361,5.4,891,1010,2738,4838,California,LAKE
"Los Angeles County, California",35.6,37.9,4602960,49549,240524,446289,601944,597200,252799,845618,133607,247106,491714,505125,191485,1808411,3313908,1475430,228053,489866,861334,259225,4050623,1832660,1864908,78815,274240,4236435,1648934,1862617,321320,403564,109390,106145,716951,711094,234446,50011,135899,717359,771487,290437,43295,9953165,8545651,1407514,68093,3313908,310095,0.5016,34115,39.9,36,8162030,5001369,3561342,1501284,1812624,4.6,1376,1625,219188,346396,California,LOS ANGELES
"Madera County, California",33.8,34.9,54818,1960,5614,7971,5321,6657,3223,5807,1362,2190,5504,5665,3544,37919,44484,22558,4767,6509,8122,2528,58520,24123,27390,1008,5999,62752,19113,29926,6297,7416,1959,2044,10499,4777,1870,81,2806,12516,5955,1641,59,149208,118017,31191,56305,44484,8657,0.4235,21901,41.1,35.7,119395,59187,50971,28419,16065,5.7,792,1050,3746,4803,California,MADERA
"Marin County, California",46.2,48.6,112097,1853,7962,11854,14950,10797,4757,13298,5010,6804,13801,16728,4283,49155,104954,55690,3793,8114,29428,7929,105846,29488,63911,2483,9964,111908,30854,57051,8517,15486,1980,562,9936,30452,13886,4129,763,9452,34163,17009,3929,253650,238364,15286,126373,104954,1915,0.4837,70928,41.4,35.5,214458,134656,113175,67919,37035,5.4,2072,2491,3332,4229,California,MARIN
"Mendocino County, California",41.7,45.3,34612,2691,6989,7869,4316,4111,1640,2978,607,246,717,1583,865,16554,33794,15035,2236,4162,9977,2384,35441,12971,18232,735,3503,36500,9310,17773,3157,6260,757,456,9197,4160,986,306,636,6348,4962,2612,155,85879,69562,16317,51830,33794,3374,0.4418,26939,40.9,35,71461,39072,40934,19652,14142,4.8,939,1157,3483,4435,California,MENDOCINO
"Merced County, California",30.4,32.4,105622,3250,13809,17034,18879,12736,2844,10345,1875,3040,5605,7025,9180,68795,79487,40394,6527,11056,16765,4745,104266,44497,48688,2559,8522,103276,37232,49496,7143,9405,2968,3529,23114,5847,2757,571,3613,21288,9272,3562,586,268968,209685,59283,57745,79487,12655,0.4696,23711,42,35.6,203248,111737,85766,42176,37311,5.4,848,1062,6378,8648,California,MERCED
"Monterey County, California",34.4,35,183101,3559,13988,26265,44087,33673,11471,17252,4883,5646,10912,6721,4644,92958,126299,65529,8232,19188,27160,6190,172183,75396,81459,4543,10785,167442,59976,79942,12610,14914,4655,4680,28607,18960,8155,2513,3991,29732,21972,10350,1196,418664,362743,55921,70681,126299,11721,0.4687,30674,40.9,37.2,333147,190707,142414,64796,61503,5,1403,1553,7624,13625,California,MONTEREY
"Napa County, California",39.1,43,62342,2273,7697,9553,10099,7760,2525,7371,1260,1383,4112,4994,3315,25298,47315,25253,2683,5128,11005,3246,56770,19192,30814,1172,5592,59071,17739,28402,4315,8615,1211,990,9566,9325,3204,1000,1065,8931,13774,3838,262,136739,124288,12451,87025,47315,4408,0.4454,40470,39.3,34.6,114103,68939,55465,30053,17262,5.3,1587,1782,2585,2832,California,NAPA
"Nevada County, California",47.9,53.1,35158,2490,4090,6379,5604,4203,1788,2535,1291,1263,2735,1719,1061,16267,41447,21080,1820,2879,12486,3182,41372,13551,21899,1317,4605,43917,8841,24103,3916,7057,813,304,7876,9639,2865,571,139,6076,10186,3313,933,98694,88506,10188,66299,41447,2504,0.4501,37645,37.5,34.7,84536,44505,54264,30711,10736,5.6,1030,1363,2478,3903,California,NEVADA
"Orange County, California",36.9,39.6,1474853,17772,105584,169611,223384,221231,93952,253588,48305,68210,127884,100542,44790,605489,1040394,560541,53289,121356,227814,77394,1278419,487033,667776,28328,95282,1332153,415146,666682,103295,147030,31202,28844,183638,287319,109158,23915,32116,192816,291693,113092,14359,3148187,2819109,329078,89759,1040394,71585,0.4731,41722,40.3,35.6,2571255,1613730,1111321,597488,442906,5.1,1790,1975,39537,64965,California,ORANGE
"Placer County, California",40.7,43.8,158236,4823,13930,21180,28422,18145,11323,17988,5582,7235,15513,8016,6079,81049,144691,80969,7387,11612,36054,8669,156599,47041,90705,4664,14189,165868,37715,89133,14836,24184,1869,1074,22826,36390,11361,1917,1043,26339,39797,12275,1077,389406,360200,29206,88592,144691,5305,0.4458,42384,39.7,34.9,317755,180107,167122,104689,40002,5.9,1438,1737,5745,10304,California,PLACER
