NAME,median age male,median age female,total travel time to work,travel time to work: less than 5 minutes,travel time to work: 5 to 9 minutes,travel time to work: 10 to 14 minutes,travel time to work: 15 to 19 minutes,travel time to work: 20 to 24 minutes,travel time to work: 25 to 29 minutes,travel time to work: 30 to 34 minutes,travel time to work: 35 to 39 minutes,travel time to work: 40 to 44 minutes,travel time to work: 45 to 59 minutes,travel time to work: 60 to 89 minutes,travel time to work: 90 or more minutes,own children under 18 years by family type and age,total household type,household type: married-couple family,"household type: male householder, no wife present","household type: female householder, no husband present",household type: householder living alone,household type: householder not living alone,total male over 15years,male never married,male now married,male widowed,male divorced,total female over 15 years,female never married,female now married,female widowed,female divorced,women who had a birth in the past 12 months,male no schooling completed,male high school graduate (includes equivalency),male bachelor's degree,male master's degree,male doctorate degree,female no schooling completed,female high school graduate (includes equivalency),female bachelor's degree,female master's degree,female doctorate degree,total income in the past 12 months,total income in the past 12 months at or above poverty level,total income in the past 12 months below poverty level,median household income in the past 12 months (in 2018 inflation-adjusted dollars),total household in the past 12 months with/without public assist or stamps,household with cash public assistance or food stamps/snap in the past year,gini index,per capita income in the past 12 months (in 2018 inflation-adjusted dollars),mean usual hours worked male,mean usual hours worked female,total employment status 16 and over,employed population 16 years and over,housing units,housing tenure owner occupied,housing tenure renter occupied,median number of rooms,median contract rent,median monthly housing costs,no household computer,no household internet access,state_name,county
"McHenry County, Illinois",39.5,42.1,150831,2312,13566,15756,17459,18486,9950,14551,6565,7119,18026,20025,7016,65165,114544,72368,4979,10019,23097,4081,123739,35742,77281,2705,8011,126663,29522,75346,10008,11787,3014,503,29115,22476,8807,1262,551,25484,26011,11626,1228,306266,288678,17588,85275,114544,7187,0.4112,39505,42.4,36.4,245554,166067,118810,91618,22926,6.7,1019,1404,4591,5967,Illinois,MCHENRY
"McLean County, Illinois",32,34.5,81350,3119,13977,17335,21091,8679,4628,4790,945,1000,3221,1432,1133,34678,65998,32930,1349,5370,19194,7155,68490,28104,34227,1407,4752,73798,27718,34421,4467,7192,2366,235,12604,14850,5432,1984,112,12283,14629,8669,966,164375,138660,25715,66256,65998,6611,0.4787,33210,38.7,34.3,140259,86902,72676,42798,23200,5.7,713,963,3012,5457,Illinois,MCLEAN
"Macon County, Illinois",40.2,42,46290,1828,8172,10529,9902,7095,2045,1659,405,977,2208,1061,409,20620,44562,19714,1932,6115,14200,2601,40435,13343,20134,1361,5597,45110,13073,21294,4915,5828,1429,67,11945,4876,1261,319,261,13400,5342,2409,178,101448,83150,18298,50066,44562,7546,0.4605,29539,40.4,37.1,84164,48087,50405,29958,14604,5.6,552,737,5405,6467,Illinois,MACON
"Madison County, Illinois",38.5,41.9,121935,4788,14537,14131,13690,14337,10508,15730,5332,7119,13853,5431,2479,50350,108977,53728,5226,13737,28114,8172,104395,32391,55695,3325,12984,112525,28685,58819,10551,14470,3710,268,25857,14189,6243,843,741,28900,15708,8059,740,258426,221271,37155,59987,108977,16137,0.4367,31100,41,35.4,213551,129815,119625,77587,31390,5.8,639,889,9753,11872,Illinois,MADISON
"Peoria County, Illinois",37,39.5,77904,2815,10607,16681,18999,12249,5729,6385,992,626,1704,645,472,38408,71506,31078,2296,9436,24022,4674,69839,27930,34037,1864,6008,75328,25785,33588,5860,10095,1911,353,16031,9985,4959,1492,437,17372,13649,4700,305,175616,145689,29927,56138,71506,8203,0.494,31514,40.4,36.8,143086,82041,83650,45555,25951,5.5,641,846,6581,10329,Illinois,PEORIA
"Rock Island County, Illinois",38.8,42.7,64883,2955,8391,12852,12878,13088,4095,5065,1700,476,1456,1306,621,28457,61009,26525,3034,8099,19146,4205,55843,19261,27408,1469,7705,61050,16669,29864,5837,8680,2107,681,14566,7064,2319,386,995,13221,8936,3673,293,138642,118434,20208,52148,61009,8866,0.4355,29140,39.8,34.7,115382,68343,66180,43363,17646,5.6,624,832,5820,8101,Illinois,ROCK ISLAND
"St. Clair County, Illinois",38.1,40.9,120014,2796,13579,15419,18412,16954,10106,14886,4378,4685,12190,4752,1857,53734,104803,44570,3991,14294,36598,5350,100646,38998,48691,2577,10380,109613,35989,48045,10469,15110,3641,857,23943,15236,8230,540,601,23436,15807,9884,603,256652,219411,37241,59141,104803,14383,0.463,30824,40.6,36.5,206632,122021,120612,68933,35870,5.7,641,900,9310,18720,Illinois,ST CLAIR
"Sangamon County, Illinois",38.7,42.7,92593,3913,10109,19750,22141,16987,4830,7583,1611,1727,1478,1352,1112,37775,83006,35017,3793,11456,26901,5839,76409,28084,37375,2400,8550,83583,24996,38188,7637,12762,2347,153,17469,12794,5681,1234,291,20147,15522,6889,406,190831,165180,25651,61997,83006,12323,0.4527,34396,39.7,36.5,157686,96234,91928,56263,26743,5.6,663,881,6577,9737,Illinois,SANGAMON
"Tazewell County, Illinois",40.4,43,57528,2335,7823,8582,8451,10766,4971,6902,1196,1841,2834,1051,776,26987,54123,29213,1380,5616,15802,2112,52463,14566,31359,1522,5016,55189,12037,29926,6487,6739,1552,219,14806,7230,2963,457,283,15216,8707,3588,225,129593,116704,12889,60857,54123,7733,0.4174,31498,41.2,35.1,105975,60423,59053,39655,14468,5.6,606,831,5838,7514,Illinois,TAZEWELL
"Vermilion County, Illinois",39.9,40.9,27662,1749,3794,6175,6202,2464,1173,2434,356,813,1115,778,609,15355,30166,13010,1935,3911,10308,1002,30658,11025,14677,1471,3485,31043,8380,14461,3588,4614,474,115,12357,2002,1134,178,225,10535,3269,1247,53,73670,59094,14576,43655,30166,4772,0.4555,23995,40.4,34.9,60826,30380,36125,20648,9518,5.6,493,644,5380,6595,Illinois,VERMILION
"Will County, Illinois",36.9,39.4,334062,7188,24493,34829,35303,38798,20839,44662,14401,19422,39567,37500,17060,153217,231647,137971,11179,26144,46221,10132,273371,96470,153264,4889,18748,280469,84740,149484,18896,27349,8501,2800,62276,48890,18128,2301,3333,59944,50629,26887,2739,682218,639760,42458,85818,231647,23399,0.4087,36541,41.2,35.4,541119,360561,245197,185673,45974,6.4,974,1456,11259,17893,Illinois,WILL
"Williamson County, Illinois",40.6,41.4,29486,2019,2642,6351,5294,4086,1029,3823,1057,682,1468,497,538,13353,27815,12029,1358,3364,8992,2072,27339,8787,12788,1673,4091,26957,6644,13744,2568,4001,932,323,7815,3830,1073,313,18,8369,2541,2837,76,64571,55683,8888,43568,27815,4132,0.4649,25624,38.2,35.4,53869,30328,31375,17901,9914,5.4,533,675,5006,5843,Illinois,WILLIAMSON
